evaluation_sample,filter_variant,engine_model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months,publication_role
full_sample,student_t_7_reduced_core,baseline,after_employment_situation,183,7.608699286203198,1.4335358239527087,0.10087617669421088,0.36942921721646027,0.5355191256830601,2.0661833631972106,0.6385915736286749,1.57849387056047,4,baseline
full_sample,student_t_7_reduced_core_with_expectations,sensitivity,after_employment_situation,183,7.608701711121061,1.4335354829048164,0.10087599174712411,0.369428876168568,0.5355191256830601,2.066182454649378,0.6385930607971979,1.57849387056047,4,sensitivity
full_sample,student_t_7_combined,sensitivity,after_employment_situation,183,7.60954758854439,1.4336930866851998,0.10095369824093706,0.3695864799489515,0.5300546448087432,2.066173384786345,0.6389836927874762,1.5784978715074454,4,major_benchmark
full_sample,partial_only,major_benchmark,after_employment_situation,183,7.661614698767194,1.4338070485877414,0.10095838221711084,0.3697004418514929,0.5245901639344263,2.106373065319172,0.6382599129681908,1.5908013247910653,4,major_benchmark
full_sample,transition_only,major_benchmark,after_employment_situation,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4,major_benchmark
full_sample,student_t_7_reduced_core_with_expectations,sensitivity,after_midmonth_defining_releases,183,5.704484676458129,1.2980781910987096,0.0326636962041657,0.23397158436246118,0.7650273224043715,1.4258224144441254,0.46779137838112617,-0.6182338784962438,4,sensitivity
full_sample,student_t_7_reduced_core,baseline,after_midmonth_defining_releases,183,5.704487666170343,1.2980784745275302,0.03266378200211858,0.2339718677912819,0.7650273224043715,1.4258226436953132,0.46779228404707346,-0.6182338784962438,4,baseline
full_sample,student_t_7_combined,sensitivity,after_midmonth_defining_releases,183,5.751279867883434,1.3009662128893194,0.03342176661016575,0.23685960615307095,0.7704918032786885,1.4244490086437498,0.49228133240816513,-0.6690184784530571,4,major_benchmark
full_sample,partial_only,major_benchmark,after_midmonth_defining_releases,183,5.837540021332154,1.300541413878924,0.03325293903669275,0.23643480714267567,0.825136612021858,1.4474819172144902,0.48689390958270506,-0.6200446770410959,4,major_benchmark
full_sample,transition_only,major_benchmark,after_midmonth_defining_releases,183,26.922755837009575,1.5377273185249019,0.1508975850118537,0.47362071178865345,0.3442622950819672,4.2948042542452045,0.7381280264008367,1.8200796566973392,4,major_benchmark
full_sample,student_t_7_reduced_core_with_expectations,sensitivity,before_any_defining_release,183,26.85414893532753,1.5356904661941468,0.15046485164363604,0.47158385945789866,0.3770491803278688,4.245562997335184,0.7346188229330632,1.8200796566973387,4,sensitivity
full_sample,student_t_7_reduced_core,baseline,before_any_defining_release,183,26.854149526788753,1.5356930929360864,0.1504662506017622,0.47158648619983806,0.3770491803278688,4.24557375981366,0.7346181045587673,1.8200796566973387,4,baseline
full_sample,student_t_7_combined,sensitivity,before_any_defining_release,183,26.85506441385424,1.535933257332195,0.15058402984277114,0.47182665059594686,0.37158469945355194,4.245499642261657,0.7350915955171579,1.8200796566973387,4,major_benchmark
full_sample,partial_only,major_benchmark,before_any_defining_release,183,26.920861781266428,1.5369529462817848,0.150516854018533,0.47284633954553645,0.36065573770491804,4.294662018190844,0.7384759620797916,1.8200796566973387,4,major_benchmark
full_sample,transition_only,major_benchmark,before_any_defining_release,183,26.921564943923837,1.5352751723987836,0.14960599995954502,0.4711685656625354,0.36065573770491804,4.2942263845073,0.738680411033734,1.8200796566973392,4,major_benchmark
full_sample,student_t_7_reduced_core_with_expectations,sensitivity,strict_pre_final_score_day,183,5.6650990460445945,1.2980787980912214,0.03281911205517822,0.23397219135497305,0.7377049180327869,1.4180881054794587,0.4613622726803971,-0.7330141666176841,4,sensitivity
full_sample,student_t_7_reduced_core,baseline,strict_pre_final_score_day,183,5.665106489525099,1.2980798413643768,0.03281956569946314,0.2339732346281284,0.7377049180327869,1.41808878685697,0.4613643232052928,-0.7330141666176841,4,baseline
full_sample,student_t_7_combined,sensitivity,strict_pre_final_score_day,183,5.721140588346696,1.3022401127827408,0.03402295808163001,0.23813350604649253,0.7595628415300546,1.4109220119805614,0.4947032538333657,-0.6690184784530571,4,major_benchmark
full_sample,partial_only,major_benchmark,strict_pre_final_score_day,183,5.835589683205558,1.3003350492954844,0.03311380484690474,0.2362284425592359,0.825136612021858,1.4474340937016814,0.48683712721996164,-0.648447436324195,4,major_benchmark
full_sample,transition_only,major_benchmark,strict_pre_final_score_day,183,26.91905050798631,1.5365413241079706,0.15028277316786048,0.47243471737172216,0.34972677595628415,4.2947175013760885,0.7379022364967949,1.8200796566973392,4,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core,baseline,after_employment_situation,180,1.5454803757402646,1.2596513414655566,0.08682450266800265,0.18018148835993694,0.5388888888888889,0.3684269276620685,0.564221397118408,1.4299471436847115,4,baseline
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations,sensitivity,after_employment_situation,180,1.5454828410734252,1.2596509947335326,0.08682431463846445,0.1801811416279132,0.5388888888888889,0.3684217474584055,0.5642231083636282,1.4299471436847115,4,sensitivity
excluding_2020_03_through_2020_05,student_t_7_combined,sensitivity,after_employment_situation,180,1.5463592542412603,1.2598112221426871,0.08690331623316475,0.18034136903706763,0.5333333333333333,0.3684252816184984,0.5646721870408291,1.4299471121919138,4,major_benchmark
excluding_2020_03_through_2020_05,partial_only,major_benchmark,after_employment_situation,180,1.5493581290327092,1.259941189797516,0.08690922669166776,0.18047133669189638,0.5277777777777778,0.37609877288826615,0.5653958517362837,1.4320660606154485,4,major_benchmark
excluding_2020_03_through_2020_05,transition_only,major_benchmark,after_employment_situation,180,2.28844811410381,1.3564997030001085,0.1337121912641903,0.27702984989448887,0.36666666666666664,0.8835124721536066,0.6209166249541732,1.8101118306586832,4,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations,sensitivity,after_midmonth_defining_releases,180,-0.051739822267328865,1.1275448660084884,0.02245777891787867,0.048075012902868836,0.7666666666666667,0.22262345593042498,0.37910509729595954,-0.7582467601871973,4,sensitivity
excluding_2020_03_through_2020_05,student_t_7_reduced_core,baseline,after_midmonth_defining_releases,180,-0.0517367827265783,1.1275451541611228,0.022457866145797433,0.0480753010555032,0.7666666666666667,0.2226249486673485,0.3791062334546178,-0.7582467601871973,4,baseline
excluding_2020_03_through_2020_05,student_t_7_combined,sensitivity,after_midmonth_defining_releases,180,-0.017321586080169055,1.130478817994496,0.02322830780922179,0.051008964888876504,0.7722222222222223,0.20268790677819928,0.40910887297968307,-0.7303684357648109,4,major_benchmark
excluding_2020_03_through_2020_05,partial_only,major_benchmark,after_midmonth_defining_releases,180,0.03696312844279487,1.130056587723931,0.023058080321781766,0.050586734618311535,0.8277777777777777,0.17373989422510602,0.4036512612461695,-0.7440183133679165,4,major_benchmark
excluding_2020_03_through_2020_05,transition_only,major_benchmark,after_midmonth_defining_releases,180,2.2896588554076436,1.3589927182283283,0.13502530273403748,0.2795228651227088,0.35,0.8863635550287041,0.620248412132698,1.8101118306586832,4,major_benchmark
excluding_2020_03_through_2020_05,student_t_7_reduced_core_with_expectations,sensitivity,before_any_defining_release,180,2.267430671467694,1.3568972446947334,0.13456008421165383,0.27742739158911384,0.38333333333333336,0.832355885899616,0.6136828641131153,1.8101118306586832,4,sensitivity
excluding_2020_03_through_2020_05,student_t_7_reduced_core,baseline,before_any_defining_release,180,2.2674312727866033,1.3568999152157053,0.13456150648574874,0.27743006211008564,0.38333333333333336,0.8324116947538278,0.6136819898391993,1.8101118306586832,4,baseline
excluding_2020_03_through_2020_05,student_t_7_combined,sensitivity,before_any_defining_release,180,2.268386871156377,1.3571440777690065,0.13468124854293623,0.277674224663387,0.37777777777777777,0.8320773617674186,0.6142576387550621,1.8101118306586832,4,major_benchmark
excluding_2020_03_through_2020_05,partial_only,major_benchmark,before_any_defining_release,180,2.2877332320687755,1.3582054397811596,0.13463822622416144,0.27873558667553994,0.36666666666666664,0.8856626094032318,0.6206693311938335,1.8101118306586832,4,major_benchmark
